"projectMembershipId","projectId","permissionSetId","userId","accountId","active","isDeleted","sourceType","version","isDeafult","_id","updatedAt","joinedAt","primaryTableMaxVersion._id","primaryTableMaxVersion.version"
"1409679","336436","201926","275181","16946","1","0","DEFAULT","1746019454467553956","true","1409679","","1719878400000","1409679","1746019454467553956"
"1488656","336436","201927","297494","16946","1","0","DEFAULT","1746019454468278949","true","1488656","","1722470400000","1488656","1746019454468278949"
"1488655","336436","201927","297499","16946","1","0","DEFAULT","1746019454467925528","true","1488655","","1722470400000","1488655","1746019454467925528"
"2526733","652602","201926","235382","16946","1","0","DEFAULT","1746050699886093120","true","2526733","","1745884800000","2526733","1746050699886093120"
"2526734","652602","221206","297488","16946","1","0","DEFAULT","1746050699886348798","true","2526734","","1745884800000","2526734","1746050699886348798"
"2526735","652602","201927","297490","16946","1","0","DEFAULT","1746050699886603333","true","2526735","","1745884800000","2526735","1746050699886603333"
"1409684","336441","201926","275181","16946","1","0","DEFAULT","1747454673257330278","true","1409684","","1719878400000","1409684","1747454673257330278"
"2259892","336441","204282","293237","16946","1","0","DEFAULT","1747454673259421054","true","2259892","","1741046400000","2259892","1747454673259421054"
"1605703","336441","221206","297488","16946","1","0","DEFAULT","1747454673258634964","true","1605703","","1724976000000","1605703","1747454673258634964"
"1605702","336441","204282","297489","16946","1","0","DEFAULT","1747454673257598744","true","1605702","","1724976000000","1605702","1747454673257598744"
"1622710","336441","201927","297490","16946","1","0","DEFAULT","1747454673258114987","true","1622710","","1725494400000","1622710","1747454673258114987"
"1605701","336441","201927","297492","16946","1","0","DEFAULT","1747454673257859282","true","1605701","","1724976000000","1605701","1747454673257859282"
"2160978","336441","201927","297499","16946","1","0","DEFAULT","1747454673258893785","true","2160978","","1741737600000","2160978","1747454673258893785"
"1605700","336441","201927","297500","16946","1","0","DEFAULT","1747454673259153388","true","1605700","","1724976000000","1605700","1747454673259153388"
"2604009","336441","329682","297501","16946","1","0","DEFAULT","1747454673259673783","true","2604009","","1747353600000","2604009","1747454673259673783"
"1897012","336441","329682","305125","16946","1","0","DEFAULT","1747454673258370474","true","1897012","","1733097600000","1897012","1747454673258370474"
"1409686","336443","201926","275181","16946","1","0","DEFAULT","1746746717700056276","true","1409686","","1719878400000","1409686","1746746717700056276"
"2543055","336443","204282","293237","16946","1","0","DEFAULT","1746746717701434177","true","2543055","","1746144000000","2543055","1746746717701434177"
"1605694","336443","221206","297488","16946","1","0","DEFAULT","1746746717702461464","true","1605694","","1724976000000","1605694","1746746717702461464"
"1605696","336443","204282","297489","16946","1","0","DEFAULT","1746746717700401155","true","1605696","","1724976000000","1605696","1746746717700401155"
"1622711","336443","201927","297490","16946","1","0","DEFAULT","1746746717700745124","true","1622711","","1725494400000","1622711","1746746717700745124"
