_id,accountId,projectId,date,userId,roleId,teamId,isDeleted,userType,customerId,allocatedMins,softAllocatedMins,hardAllocatedMins,estimatedRevenue,actualRevenue,estimatedMargin,actualMargin,estimatedCost,actualCost,actualProfit,estimatedProfit,estimatedRevenueInProjectCurrency,actualRevenueInProjectCurrency,estimatedMarginInProjectCurrency,actualMarginInProjectCurrency,estimatedCostInProjectCurrency,actualCostInProjectCurrency,actualProfitInProjectCurrency,estimatedProfitInProjectCurrency,billableMinutes,nonBillableMinutes,costRate,billRate,trackedMinutes,utilisation,billableUtilisation,plannedUtilisation,capacityInMinutes,financeType,version,primaryTableMaxVersion._id,primaryTableMaxVersion.version
2024-06-17_325224_284088_75458,16946,325224,06-17-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803932309384,2024-06-17_325224_284088_75458,1735232803932309384
2024-06-21_319576_284088_75461,16946,319576,06-21-2024,284088,75461,0,0,,148871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,0.0,0,0.0,0.0,0.0,480,,1733637540483643696,2024-06-21_319576_284088_75461,1733637540483643696
2024-06-24_325224_284088_75458,16946,325224,06-24-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803932539428,2024-06-24_325224_284088_75458,1735232803932539428
2024-06-24_325224_284088_75461,16946,325224,06-24-2024,284088,75461,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803932773174,2024-06-24_325224_284088_75461,1735232803932773174
2024-06-24_325224_USER_ID_75458,16946,325224,06-24-2024,0,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803933009584,2024-06-24_325224_USER_ID_75458,1735232803933009584
2024-06-24_325224_USER_ID_75460,16946,325224,06-24-2024,0,75460,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803933239222,2024-06-24_325224_USER_ID_75460,1735232803933239222
2024-06-24_325224_USER_ID_75461,16946,325224,06-24-2024,0,75461,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803933471948,2024-06-24_325224_USER_ID_75461,1735232803933471948
2024-06-24_325224_USER_ID_75462,16946,325224,06-24-2024,0,75462,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803933705955,2024-06-24_325224_USER_ID_75462,1735232803933705955
2024-06-24_325224_USER_ID_82411,16946,325224,06-24-2024,0,82411,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803933940393,2024-06-24_325224_USER_ID_82411,1735232803933940393
2024-06-24_325224_USER_ID_82412,16946,325224,06-24-2024,0,82412,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803934176450,2024-06-24_325224_USER_ID_82412,1735232803934176450
2024-06-24_325932_284088_75461,16946,325932,06-24-2024,284088,75461,0,0,,148871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.0,0,0.0,0.0,0.0,480,FIXED_FEE,1733597075004951329,2024-06-24_325932_284088_75461,1733597075004951329
2024-06-24_327243_275181_75461,16946,327243,06-24-2024,275181,75461,0,0,,195659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,0.0,0,0.0,0.0,0.0,480,TIME_AND_MATERIAL,1733637673848805848,2024-06-24_327243_275181_75461,1733637673848805848
2024-06-25_325224_284088_75458,16946,325224,06-25-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803934413353,2024-06-25_325224_284088_75458,1735232803934413353
