Aircraft ID,Flight Number,Departure Airport,Arrival Airport,Distance Traveled (km),Gallons of Fuel Used,Weight of Aircraft (kg),Passenger Capacity,Flight Duration (hours),Total Emissions (kg CO2),Emissions per Passenger (kg CO2/passenger),Emissions per Kilometer (kg CO2/km),Emissions per Unit of Fuel Used (kg CO2/gallon),Emissions per Kilogram of Weight (kg CO2/kg)
1,GR123,ATH (Athens International Airport),CDG (Paris Charles de Gaulle Airport),2596,320,65000,150,3.5,7632,50.88,2.94,23.85,0.12
2,GR456,ATH (Athens International Airport),FCO (Leonardo da Vinci–Fiumicino Airport),1050,150,50000,100,1.5,3500,35,3.33,23.33,0.07
3,GR789,ATH (Athens International Airport),LHR (London Heathrow Airport),2485,300,62000,120,3.2,6200,51.67,2.5,20.67,0.1
4,GR321,ATH (Athens International Airport),FRA (Frankfurt Airport),1967,260,55000,130,2.7,5460,42,2.78,21,0.1
5,GR654,ATH (Athens International Airport),AMS (Amsterdam Airport Schiphol),2225,280,58000,140,3,6160,44,2.77,22,0.11
6,GR987,ATH (Athens International Airport),MAD (Adolfo Suárez Madrid–Barajas Airport),2370,290,59000,145,3.1,6380,43.86,2.69,22,0.11
7,GR654,ATH (Athens International Airport),MUC (Munich Airport),1716,220,52000,110,2.3,4620,42,2.69,21,0.09
8,GR321,ATH (Athens International Airport),ZRH (Zurich Airport),1663,210,51000,105,2.2,4200,38.18,2.52,20,0.08
9,GR789,ATH (Athens International Airport),CPH (Copenhagen Airport),2370,290,59000,145,3.1,6380,43.86,2.69,22,0.11
10,GR123,ATH (Athens International Airport),IST (Istanbul Airport),532,90,48000,90,1,1260,42,2.37,14,0.03
11,GR456,ATH (Athens International Airport),OTP (Henri Coandă International Airport),758,110,49000,95,1.3,1980,41.58,2.61,18,0.04
12,GR654,ATH (Athens International Airport),MXP (Milan Malpensa Airport),1305,180,53000,115,1.8,3780,32.87,2.89,21,0.07
13,GR321,ATH (Athens International Airport),VIE (Vienna International Airport),1228,170,52000,110,1.7,3570,32.45,2.91,21,0.07
14,GR987,ATH (Athens International Airport),BRU (Brussels Airport),1975,250,55000,125,2.5,5250,42,2.66,21,0.1
15,GR789,ATH (Athens International Airport),ARN (Stockholm Arlanda Airport),2515,310,60000,140,3.3,6510,46.5,2.59,21,0.11
16,GR753,FRA (Frankfurt Airport),BCN (Barcelona El Prat Airport),1486,194.24,53074,99,1.9,4415.0,44.6,2.97,22.73,0.08
17,GR208,FRA (Frankfurt Airport),OSL (Oslo Gardermoen Airport),1860,235.44,51049,143,2.3,5450.0,38.11,2.93,23.15,0.11
18,GR539,CDG (Paris Charles de Gaulle Airport),BCN (Barcelona El Prat Airport),2841,337.64,57182,104,3.7,7891.0,75.88,2.78,23.37,0.14
19,GR381,FRA (Frankfurt Airport),BCN (Barcelona El Prat Airport),2876,351.68,63596,105,3.3,8414.0,80.13,2.93,23.93,0.13
20,GR577,AMS (Amsterdam Airport Schiphol),PRG (Prague Airport),2437,297.91,58029,101,3.1,6632.0,65.66,2.72,22.26,0.11
21,GR649,LHR (London Heathrow Airport),BCN (Barcelona El Prat Airport),2294,278.03,57855,122,2.6,6047.0,49.57,2.64,21.75,0.1
22,GR320,FRA (Frankfurt Airport),DUB (Dublin Airport),2515,323.9,51395,140,2.8,6967.0,49.76,2.77,21.51,0.14
23,GR893,FCO (Leonardo da Vinci–Fiumicino Airport),PRG (Prague Airport),2941,356.14,63273,112,3.8,8194.0,73.16,2.79,23.01,0.13
24,GR498,FRA (Frankfurt Airport),HEL (Helsinki Airport),2940,368.85,50322,150,4.0,8400.0,56.0,2.86,22.77,0.17
25,GR382,FRA (Frankfurt Airport),HEL (Helsinki Airport),2379,307.7,63411,126,3.3,6833.0,54.23,2.87,22.21,0.11
26,GR808,CDG (Paris Charles de Gaulle Airport),OSL (Oslo Gardermoen Airport),2816,338.81,59194,104,3.2,7481.0,71.93,2.66,22.08,0.13
27,GR380,FCO (Leonardo da Vinci–Fiumicino Airport),DUB (Dublin Airport),2883,342.57,61629,108,3.4,7527.0,69.69,2.61,21.97,0.12
28,GR786,AMS (Amsterdam Airport Schiphol),DUB (Dublin Airport),2280,285.93,60908,91,2.6,6357.0,69.86,2.79,22.23,0.1
29,GR967,FCO (Leonardo da Vinci–Fiumicino Airport),HEL (Helsinki Airport),1077,139.33,59006,98,1.5,3115.0,31.79,2.89,22.36,0.05
30,GR848,CDG (Paris Charles de Gaulle Airport),PRG (Prague Airport),1611,198.64,60494,114,1.9,4547.0,39.89,2.82,22.89,0.08
