City,Store Name,Latitude,Longitude,Sales Made,Customer Count,Avg Order Value
New York,Store_0,40.74245429868603,-74.03765652101339,6191,238,26.01
New York,Store_1,40.72248501579465,-74.01141672471464,5426,137,39.61
New York,Store_2,40.696170861113906,-74.04171331820781,9322,199,46.84
New York,Store_3,40.66844115790271,-73.98380012277332,7949,435,18.27
New York,Store_4,40.68098249672071,-74.03765954901466,5555,363,15.3
New York,Store_5,40.715275643163224,-74.01280549813579,9666,108,89.5
New York,Store_6,40.702786097171526,-74.05133343367864,3747,320,11.71
New York,Store_7,40.70840699842171,-73.9774824038607,5658,413,13.7
New York,Store_8,40.71422344384136,-73.9967585431138,4556,356,12.8
New York,Store_9,40.73083075385878,-74.01095007480305,6393,437,14.63
New York,Store_10,40.757020175568485,-73.99967117821545,8513,102,83.46
New York,Store_11,40.685889382562216,-74.0318974533974,8099,477,16.98
New York,Store_12,40.71231769101113,-74.05256114788848,4152,469,8.85
New York,Store_13,40.68102360877881,-73.98046385896824,2021,439,4.6
New York,Store_14,40.683594166286824,-73.999229967218,7873,93,84.66
New York,Store_15,40.75674989415642,-73.96651726495723,8629,264,32.69
,Store_16,40.71488342600259,-73.95988279756507,8892,257,34.6
,Store_17,40.73753201101374,-74.0020307867611,5887,459,12.83
New York,Store_18,40.759325530726414,-73.99529657523134,9684,90,107.6
New York,Store_19,40.69242735057041,-74.0394733060937,9006,58,155.28
New York,Store_20,40.74002447692967,-74.03612843184658,6258,130,48.14
New York,Store_21,40.73393419527487,-73.97698244594687,6892,280,24.61
New York,Store_22,40.7279077025502,-73.96450403244562,9392,377,24.91
New York,Store_23,40.707745067413825,-74.04645898835096,3454,111,31.12
New York,Store_24,40.695318332202675,-73.9830393821662,9154,84,108.98
New York,Store_25,40.7100214925162,-74.04404057540617,4840,54,89.63
New York,Store_26,40.71892771975695,-73.97890328200454,7938,442,17.96
New York,Store_27,40.73386628896858,-74.04491091791881,8035,228,35.24
,Store_28,40.665942918568675,-73.99235895887362,9755,145,67.28
New York,Store_29,40.73235160864262,-74.04206685455941,7374,286,25.78
New York,Store_30,40.71678410913017,-74.03569387752653,7668,209,36.69
New York,Store_31,40.72268654664885,-73.98652150669604,6915,115,60.13
New York,Store_32,40.72523540481338,-74.02643663141623,3693,333,11.09
New York,Store_33,40.743167207689915,-74.0373429941114,6450,177,36.44
New York,Store_34,40.743544015516406,-73.96639087000766,8392,434,19.34
New York,Store_35,40.685593516254194,-74.01328922113737,6864,308,22.29
